city,daily food production,daily food needs,current ration,current surplus of food,max survivable days,day,ratio of food contained,ratio of population,days survived using rationing based on cities food production
0,1.1061574,0.8693408800000001,0.8954095922180915,1.4602159,51,1,0.20,0.20,48
1,1.3418387,1.09822976,1.0,1.6482444,51,1,0.23,0.23,51
2,1.4269668,1.2149868,1.0,1.8257589,51,1,0.25,0.25,51
3,0.5852417,0.5108189599999999,1.0,0.76654,51,1,0.11,0.11,51
4,1.2913947,1.0567388800000002,1.0,1.5858943,51,1,0.22,0.22,51
0,1.039884,0.9031884,0.9302730614787276,1.2642959,51,2,0.20,0.20,28
1,1.2859472,1.0899830400000001,0.9924852397613653,1.4270962,51,2,0.23,0.23,51
2,1.5723531,1.19051696,0.979858941677391,1.5807932,51,2,0.25,0.25,51
3,0.8073299,0.49661,0.972184796481843,0.6636918,51,2,0.10,0.11,51
4,1.7482832,1.0488617599999999,0.9925484209180103,1.3731117,51,2,0.22,0.22,51
0,1.5474275,0.9201072,0.9477047961090457,1.2285033,51,3,0.20,0.20,51
1,1.7398708,1.08469976,0.9876850030025954,1.3866947,51,3,0.23,0.23,51
2,1.3302212,1.19661656,0.9848942062580432,1.5360406,45,3,0.25,0.25,31
3,0.8205481,0.5001589599999999,0.9791385973613822,0.6449025,51,3,0.11,0.11,51
4,1.4500882,1.0508192,0.9944113156885077,1.3342385,51,3,0.22,0.22,51
0,1.1988207,0.9302708,0.9581638368872365,1.2222481,51,4,0.20,0.20,51
1,1.3546921,1.0874164800000001,0.9901480024020763,1.3796341,51,4,0.23,0.23,51
2,1.6916709,1.19137888,0.9805674879875534,1.5282195,51,4,0.25,0.25,51
3,0.7810727,0.5022992,0.9833108778891058,0.6416189,51,4,0.11,0.11,51
4,1.1237957,1.05198568,0.9955290525508061,1.327445,33,4,0.22,0.22,26
0,1.3031347,0.9370372,0.9651365307393638,1.220864,51,5,0.20,0.20,51
1,1.4706191,1.0892096,0.9917900020017303,1.3780717,51,5,0.23,0.23,51
2,2.0352058,1.1953124800000001,0.9838062399896278,1.5264889,51,5,0.25,0.25,51
3,0.6942181,0.50371352,0.9860923982409214,0.6408923,51,5,0.11,0.11,51
4,1.2024675,1.03068432,0.9753345995774083,1.3259417,51,5,0.22,0.22,45
0,1.1861336,0.94187,0.9701170263480261,1.2201528,51,6,0.20,0.20,51
1,1.6235721,1.09050392,0.992962858858626,1.377269,51,6,0.23,0.23,51
2,1.9399654,1.1981186400000001,0.9861196342768238,1.5255997,51,6,0.25,0.25,51
3,0.6770465,0.50472928,0.9880791984922184,0.6405189,51,6,0.11,0.11,51
4,1.2083832,1.03439704,0.9788582282092071,1.3251693,51,6,0.22,0.22,47
0,1.246749,0.94549416,0.9738523980545228,1.2203933,51,7,0.20,0.20,51
1,0.9331692,1.09145384,0.9938425015012977,1.3775404,14,7,0.23,0.23,11
2,1.6471897,1.20022728,0.9878546799922209,1.5259004,51,7,0.25,0.25,51
3,0.6360446,0.5054822400000001,0.9895692986806911,0.6406452,51,7,0.11,0.11,51
4,1.16678,1.0371956800000002,0.9815009496830562,1.3254305,50,7,0.22,0.22,34
0,0.9144329,0.94832264,0.9767576871595759,1.2199287,21,8,0.20,0.20,16
1,0.9361107,1.05633096,0.9618482287498765,1.377016,16,8,0.23,0.23,11
2,1.721998,1.20186992,0.9892041599930851,1.5253194,51,8,0.25,0.25,51
3,0.5962947,0.50609288,0.9907282654939478,0.6404013,51,8,0.11,0.11,51
4,1.0472358,1.03861928,0.9828402018614614,1.3249259,25,8,0.22,0.22,18
0,1.377812,0.93849568,0.9666379986614053,1.2195812,51,9,0.20,0.20,51
1,1.4941333,1.0439516800000002,0.9505752721566912,1.3766237,51,9,0.23,0.23,51
2,1.7269608,1.20319408,0.9902837439937766,1.5248849,51,9,0.25,0.25,51
3,0.4955189,0.5059773599999999,0.9905306426702396,0.6402189,22,9,0.11,0.11,19
4,1.3491155,1.02827096,0.9730614313395654,1.3245485,51,9,0.22,0.22,51
0,1.2542591,0.9414341599999999,0.9696709078740047,1.2194453,51,10,0.20,0.20,51
1,1.5105386,1.04888224,0.9550684292333557,1.3764704,51,10,0.23,0.23,51
2,1.4468774,1.2042719199999998,0.9911670399943424,1.5247151,51,10,0.25,0.25,51
3,0.5956433,0.498186,0.9752673555926907,0.6401475,51,10,0.10,0.11,51
4,1.4117318,1.0308549599999999,0.9755103921268776,1.3244009,51,10,0.22,0.22,51
0,0.9672114,0.9414341599999999,0.9696709078740047,1.2221597,28,11,0.20,0.20,19
1,1.0821277,1.04888224,0.9550684292333557,1.3795343,29,11,0.23,0.23,18
2,1.4927391,1.2042719199999998,0.9911670399943424,1.528109,51,11,0.25,0.25,51
3,0.5657165,0.498186,0.9752673555926908,0.6415725,51,11,0.11,0.11,39
4,1.0875732,1.0308549599999999,0.9755103921268776,1.327349,32,11,0.22,0.22,22
0,0.8662058,0.9576342400000001,0.9863501984347679,1.2230987,17,12,0.20,0.20,13
1,1.174003,1.04888224,0.9550684292333558,1.3805942,49,12,0.23,0.23,27
2,1.4644733,1.2042719199999998,0.9911670399943424,1.529283,51,12,0.25,0.25,51
3,0.5585153,0.498186,0.9752673555926908,0.6420654,49,12,0.11,0.11,35
4,1.4715987,1.02751776,0.9723460649990442,1.3283688,51,12,0.22,0.22,51
0,1.3851069,0.9392523199999999,0.9674220536935055,1.2232865,51,13,0.20,0.20,51
1,1.2458793,1.051136,0.957117909298438,1.3808062,51,13,0.23,0.23,43
2,1.301644,1.2109512,0.9966600559005084,1.5295178,34,13,0.25,0.25,27
3,0.6881973,0.50206744,0.9828533201885518,0.642164,51,13,0.11,0.11,51
4,1.1486307,1.02966088,0.974378313839587,1.3285728,47,13,0.22,0.22,30
0,0.427359,0.9392523199999999,0.9674220536935055,1.2227419,7,14,0.20,0.20,5
1,0.0104757,1.05380104,0.9595466099596848,1.3801915,4,14,0.23,0.23,3
2,0.3873374,1.1970696,0.9852497462722009,1.5288369,5,14,0.25,0.25,4
3,0.0878303,0.50206744,0.9828533201885518,0.6418781,4,14,0.11,0.11,4
4,0.647414,1.02966088,0.974378313839587,1.3279813,9,14,0.22,0.22,7
0,0.4894707,0.8896279199999999,0.9163040686730447,1.2226088,8,15,0.20,0.20,6
1,0.4391218,0.95519776,0.8695536042730251,1.3800412,8,15,0.23,0.23,5
2,0.7178405,1.1211947199999999,0.9228017577857529,1.5286704,10,15,0.25,0.25,6
3,0.0963883,0.4627448,0.9058816524467623,0.6418082,5,15,0.11,0.11,4
4,0.2836358,0.98923488,0.9361206684807016,1.3278367,5,15,0.22,0.22,4
0,0.2109125,0.86621168,0.8921860429015034,1.2225822,6,16,0.20,0.20,4
1,0.387251,0.95519776,0.8695536042730253,1.3800111,7,16,0.23,0.23,4
2,0.7179277,1.09622552,0.9022528139542025,1.5286372,10,16,0.25,0.25,6
3,0.2381062,0.43115568,0.8417595244188845,0.6417942,9,16,0.10,0.11,6
4,0.0605273,0.93673264,0.8864364486772888,1.3278078,4,16,0.22,0.22,3
0,0.4579208,0.8164800799999999,0.8381593135351573,1.2275168,9,17,0.20,0.20,5
1,0.4229247,0.95519776,0.8695536042730253,1.3855811,8,17,0.23,0.23,5
2,0.4266361,1.0885622400000001,0.8959477311099345,1.5348071,7,17,0.25,0.25,4
3,0.047665,0.43115568,0.8417595244188845,0.6443846,5,17,0.11,0.11,4
4,0.4956975,0.86060104,0.8057733571939019,1.3331671,10,17,0.22,0.22,5
0,0.5158818,0.8164800799999999,0.8381593135351572,1.2320563,11,18,0.20,0.20,6
1,0.2746044,0.95519776,0.8695536042730251,1.3907052,6,18,0.23,0.23,4
2,0.3728048,1.0441783199999999,0.858643611898846,1.540483,7,18,0.24,0.25,4
